env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 2.0000
NumCells_XYZ 100 100 20
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 2.5000 7.4286 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
0 10 0 0 -16 20 -2
0 10 1 0 -15 21 -3
0 10 2 0 -15 22 -3
0 10 3 0 -16 23 -2
0 10 4 0 -17 22 -1
0 10 5 0 -18 21 0
0 10 6 0 -19 21 0
0 10 7 0 -18 21 0
0 10 8 0 -19 21 0
0 10 9 0 -19 21 0
0 10 10 0 -19 21 0
0 10 11 0 -19 21 0
0 10 12 0 -19 21 1
0 10 13 0 -19 21 1
0 10 14 0 -19 21 1
0 10 15 0 -17 23 2
0 10 16 0 -16 23 2
0 10 17 0 -15 23 3
0 10 18 0 -15 19 0
0 10 19 0 -12 18 -4
0 11 0 0 -53 48 0
0 11 1 0 -30 93 0
0 11 2 0 -32 97 -1
0 11 3 0 -34 100 -1
0 11 4 0 -35 103 -1
0 11 5 0 -36 104 -1
0 11 6 0 -37 105 -1
0 11 7 0 -37 105 0
0 11 8 0 -37 106 0
0 11 9 0 -37 105 0
0 11 10 0 -37 105 0
0 11 11 0 -37 105 0
0 11 12 0 -37 105 0
0 11 13 0 -37 105 0
0 11 14 0 -36 105 0
0 11 15 0 -35 103 0
0 11 16 0 -33 100 0
0 11 17 0 -31 95 -1
0 11 18 0 -28 90 -3
0 11 19 0 -65 58 -18
0 12 0 0 -21 128 -3
0 12 19 0 -29 132 -7
0 13 0 0 -47 231 9
0 13 19 0 -31 134 -1
0 14 0 0 -35 281 9
0 14 19 0 -24 212 -24
0 15 0 0 -58 370 10
0 15 19 0 -58 212 26
0 16 0 0 -29 419 0
0 16 19 0 -8 356 -37
0 17 0 0 -69 486 16
0 17 19 0 -57 291 10
0 18 0 0 -33 539 -10
0 18 19 0 4 488 -42
0 19 0 0 -71 612 13
0 19 19 0 -57 367 6
0 20 0 0 -32 661 -7
0 20 19 0 -33 640 -40
0 21 0 0 -69 723 14
0 21 19 0 -88 479 -11
0 22 0 0 -32 769 -6
0 22 19 0 9 750 -50
0 23 0 0 -67 829 14
0 23 19 0 -59 580 -32
0 24 0 0 -26 875 -7
0 24 19 0 8 851 -43
0 25 0 0 -59 931 11
0 25 19 0 -45 691 -37
0 26 0 0 -20 977 -7
0 26 19 0 10 946 -36
0 27 0 0 -52 1028 11
0 27 19 0 -34 801 -38
0 28 0 0 -17 1071 -7
0 28 19 0 5 1029 -28
0 29 0 0 -48 1119 10
0 29 19 0 -26 900 -38
0 30 0 0 -17 1160 -6
0 30 19 0 -1 1104 -23
0 31 0 0 -45 1201 11
0 31 19 0 -24 986 -37
0 32 0 0 -14 1234 -4
0 32 19 0 -4 1149 -16
0 33 0 0 -39 1261 16
0 33 19 0 -28 1042 -30
0 34 0 0 -13 1284 -5
0 34 19 0 -11 1197 -11
0 35 0 0 -36 1316 10
0 35 19 0 -30 1101 -26
0 36 0 0 -4 1340 -5
0 36 19 0 -10 1242 -8
0 37 0 0 -27 1350 17
0 37 19 0 -29 1148 -26
0 38 0 0 -1 1359 -6
0 38 19 0 -17 1264 -1
0 39 0 0 -24 1377 11
0 39 19 0 -30 1183 -21
0 40 0 0 2 1388 -7
0 40 19 0 -15 1287 -1
0 41 0 0 -19 1396 14
0 41 19 0 -28 1209 -22
0 42 0 0 5 1399 -7
0 42 19 0 -11 1293 -3
0 43 0 0 -17 1404 14
0 43 19 0 -26 1210 -25
0 44 0 0 6 1404 -9
0 44 19 0 -8 1293 -3
0 45 0 0 -16 1411 11
0 45 19 0 -24 1212 -25
0 46 0 0 8 1413 -8
0 46 19 0 -6 1298 -2
0 47 0 0 -14 1410 15
0 47 19 0 -23 1217 -25
0 48 0 0 6 1405 -10
0 48 19 0 -8 1296 -1
0 49 0 0 -17 1416 9
0 49 19 0 -25 1216 -25
0 50 0 0 6 1420 -10
